Family	Languages	Tested	Avg. Fam. Accuracy	Fam-STD
Abkhaz-Adyge	5	1.4	86.32	33.58
Afro-Asiatic	283	57.2	96.66	2.48
Algic	35	6.8	85.33	14.82
Angan	12	2.6	63.53	33.3
Anim	13	2.9	33.19	31.35
Arawakan	50	10.2	90.22	8.71
Athabaskan-Eyak-Tlingit	33	6.6	95.5	7.37
Atlantic-Congo	1007	200.3	97.49	2.53
Austroasiatic	105	21.1	98.39	2.84
Austronesian	861	172.1	98.54	1.13
Barbacoan	5	1.5	37.61	40.7
Border	12	2.9	85.41	24.9
Bosavi	7	1.7	83.77	31.76
Caddoan	5	1.6	27.38	41.22
Cariban	22	4.2	92.32	15.75
Central Sudanic	52	10.2	91.27	10.26
Chibchan	18	3.3	65.27	30.19
Chocoan	6	1.6	81.47	34.28
Cochimi-Yuman	9	1.9	74.48	34.05
Dagan	7	2.1	1.2	6.26
Dajuic	6	1.8	90.82	19.82
Dogon	19	3.6	98.75	6.15
Dravidian	39	7.9	95.62	7.18
East Strickland	6	1.6	91.67	21.11
Eleman	5	1.3	98.15	9.09
Eskimo-Aleut	9	2.2	87.22	23.21
Geelvink Bay	7	1.8	69.77	36.98
Goilalan	5	1.5	7.34	23.83
Great Andamanese	10	2.4	86.93	24.38
Greater Kwerba	5	1.3	11.21	31.12
Guahiboan	5	1.6	98.86	6.99
Guaicuruan	5	1.5	20.9	37.08
Gunwinyguan	10	2.1	38.7	39.94
Heibanic	10	2.3	93.65	17.02
Hmong-Mien	17	3.5	97.53	8.4
Huitotoan	5	1.5	71.64	42.72
Ijoid	10	2.3	99.02	5.94
Indo-European	273	55.1	99.4	0.98
Iroquoian	9	2.1	78.8	28.13
Japonic	10	2.2	98.73	6.53
Kadugli-Krongo	6	1.5	99.64	2.99
Keram	5	1.5	25.0	40.14
Khoe-Kwadi	10	2.1	85.26	24.66
Kiowa-Tanoan	5	1.5	83.59	29.24
Kiwaian	6	1.5	89.69	26.8
Koiarian	7	1.6	73.64	39.72
Kru	17	3.4	88.5	19.37
Lakes Plain	19	4.2	81.61	19.45
Left May	6	1.7	66.13	38.65
Lower Sepik-Ramu	28	5.8	78.66	17.75
Mailuan	6	1.7	78.86	30.94
Mande	62	12.6	96.31	5.43
Matacoan	6	1.8	81.01	29.54
Mayan	31	5.9	96.07	8.48
Miwok-Costanoan	7	1.9	64.75	38.33
Mixe-Zoque	16	3.2	90.33	19.27
Mongolic-Khitan	10	2.2	95.2	15.09
Muskogean	6	1.6	88.51	26.01
Nakh-Daghestanian	29	6.0	98.18	6.39
Narrow Talodi	5	1.3	88.73	29.57
Ndu	10	2.1	94.64	18.41
Nilotic	46	9.3	97.27	5.37
North Halmahera	10	2.2	89.67	21.39
Nubian	9	2.0	84.33	30.73
Nuclear Torricelli	50	9.4	80.72	11.26
Nuclear Trans New Guinea	266	52.7	92.14	4.46
Nuclear-Macro-Je	20	3.9	63.94	28.6
Nyulnyulan	5	1.5	77.69	33.46
Otomanguean	86	17.4	92.9	6.52
Pama-Nyungan	129	25.9	93.88	4.52
Pano-Tacanan	21	4.3	90.5	16.29
Pauwasi	5	1.4	22.06	39.95
Pomoan	7	1.9	96.26	12.36
Quechuan	35	7.1	100.0	0.0
Saharan	7	1.7	44.48	42.94
Salishan	23	4.8	89.51	14.33
Sepik	28	5.5	80.37	17.65
Sino-Tibetan	231	45.5	98.02	2.11
Siouan	17	3.6	82.57	22.69
Sko	10	2.3	46.49	36.98
Songhay	8	2.0	97.54	11.27
South Bird's Head Family	6	1.7	62.33	42.28
South Omotic	5	1.4	98.01	9.41
Surmic	10	2.1	99.1	5.13
Ta-Ne-Omotic	19	3.9	93.91	13.89
Tai-Kadai	53	10.8	94.06	6.67
Timor-Alor-Pantar	22	4.5	88.74	17.53
Tor-Orya	13	2.8	89.7	22.41
Totonacan	9	2.1	93.21	21.25
Tucanoan	19	4.2	90.13	13.47
Tungusic	12	2.7	98.07	7.89
Tupian	54	10.8	94.63	6.56
Turkic	33	6.2	96.82	7.2
Tuu	5	1.5	100.0	0.0
Unclassified	163	32.5	54.32	9.24
Uralic	32	6.5	96.62	6.7
Uto-Aztecan	52	10.4	98.44	3.92
Wakashan	6	1.6	90.98	24.68
Western Daly	9	2.2	100.0	0.0
Worrorran	5	1.3	74.88	38.51
Yam	17	3.5	88.91	17.83
Yareban	5	1.5	88.15	26.96
Yeniseian	5	1.6	84.05	29.55
Yuat	5	1.4	82.29	30.7
northernperu	6	1.5	55.26	43.79
TOTAL	4887	977	81.84	2.61
