Run	Family	Languages	Tested	Score
1	Sino-Tibetan	85	17	94.12
1	Austronesian	301	60	73.33
1	Mande	7	1	100.00
1	Atlantic-Congo	143	29	58.62
1	Pano-Tacanan	10	2	50.00
1	Pama-Nyungan	51	10	80.00
1	Arawakan	31	6	100.00
1	Tupian	15	3	100.00
1	Hmong-Mien	9	2	100.00
1	Indo-European	47	9	77.78
1	Afro-Asiatic	38	8	75.00
1	Tucanoan	10	2	100.00
1	Chocoan	5	1	0.00
1	Chibchan	15	3	66.67
1	Quechuan	6	1	100.00
1	Cariban	11	2	100.00
1	Uto-Aztecan	27	5	60.00
1	Nuclear-Macro-Je	7	1	100.00
1	Nakh-Daghestanian	20	4	100.00
1	Turkic	12	2	50.00
1	Uralic	19	4	50.00
1	Salishan	6	1	100.00
1	Tai-Kadai	5	1	100.00
1	Austroasiatic	54	11	54.55
1	Koiarian	6	1	100.00
1	Nuclear Trans New Guinea	39	8	0.00
1	Mongolic-Khitan	5	1	0.00
1	Dravidian	13	3	33.33
1	Tungusic	8	2	100.00
1	Unclassified	165	33	0.00
2	Sino-Tibetan	85	17	94.12
2	Austronesian	301	60	68.33
2	Mande	7	1	0.00
2	Atlantic-Congo	143	29	55.17
2	Pano-Tacanan	10	2	100.00
2	Pama-Nyungan	51	10	70.00
2	Arawakan	31	6	83.33
2	Tupian	15	3	66.67
2	Hmong-Mien	9	2	100.00
2	Indo-European	47	9	77.78
2	Afro-Asiatic	38	8	37.50
2	Tucanoan	10	2	50.00
2	Chocoan	5	1	100.00
2	Chibchan	15	3	33.33
2	Quechuan	6	1	100.00
2	Cariban	11	2	100.00
2	Uto-Aztecan	27	5	100.00
2	Nuclear-Macro-Je	7	1	0.00
2	Nakh-Daghestanian	20	4	100.00
2	Turkic	12	2	100.00
2	Uralic	19	4	75.00
2	Salishan	6	1	100.00
2	Tai-Kadai	5	1	100.00
2	Austroasiatic	54	11	63.64
2	Koiarian	6	1	100.00
2	Nuclear Trans New Guinea	39	8	0.00
2	Mongolic-Khitan	5	1	100.00
2	Dravidian	13	3	33.33
2	Tungusic	8	2	50.00
2	Unclassified	165	33	0.00
3	Sino-Tibetan	85	17	88.24
3	Austronesian	301	60	73.33
3	Mande	7	1	0.00
3	Atlantic-Congo	143	29	51.72
3	Pano-Tacanan	10	2	100.00
3	Pama-Nyungan	51	10	70.00
3	Arawakan	31	6	83.33
3	Tupian	15	3	100.00
3	Hmong-Mien	9	2	100.00
3	Indo-European	47	9	55.56
3	Afro-Asiatic	38	8	50.00
3	Tucanoan	10	2	50.00
3	Chocoan	5	1	0.00
3	Chibchan	15	3	66.67
3	Quechuan	6	1	100.00
3	Cariban	11	2	100.00
3	Uto-Aztecan	27	5	80.00
3	Nuclear-Macro-Je	7	1	100.00
