Run	Score
1	79.72
2	82.08
3	80.66
4	78.77
5	79.25
6	79.72
7	82.08
8	81.60
9	80.19
10	80.19
11	78.77
12	78.30
13	78.30
14	77.36
15	79.25
16	76.89
17	79.25
18	79.72
19	80.19
20	77.83
21	77.36
22	80.19
23	80.66
24	79.25
25	81.60
26	79.72
27	78.30
28	78.77
29	75.94
30	81.60
31	83.49
32	78.77
33	77.83
34	77.83
35	77.36
36	78.77
37	77.83
38	78.77
39	80.19
40	79.72
41	83.49
42	79.72
43	79.72
44	81.13
45	79.72
46	79.72
47	81.13
48	80.66
49	80.66
50	81.60
51	79.72
52	77.83
53	81.13
54	83.96
55	80.19
56	80.66
57	77.36
58	80.19
59	82.08
60	79.72
61	78.77
62	79.72
63	79.72
64	77.83
65	83.02
66	77.83
67	77.83
68	80.66
69	81.13
70	81.13
71	77.83
72	81.60
73	81.60
74	80.66
75	81.13
76	81.13
77	78.30
78	79.25
79	77.83
80	81.13
81	77.36
82	77.83
83	79.25
84	81.13
85	79.25
86	80.19
87	78.77
88	79.25
89	82.08
90	79.72
91	83.49
92	78.30
93	76.89
94	80.19
95	77.36
96	81.13
97	79.72
98	78.30
99	78.30
100	81.13
0	79.72
