Family	Languages	Tested	Avg. Fam. Accuracy	Fam-STD
Afro-Asiatic	79	15.9	93.08	6.06
Arawakan	12	2.7	85.55	22.41
Atlantic-Congo	136	26.7	98.35	2.34
Austroasiatic	46	8.9	95.74	6.91
Austronesian	382	74.8	99.68	0.59
Barbacoan	5	1.4	85.1	28.36
Chibchan	17	3.4	82.89	22.14
Chocoan	6	1.7	90.96	23.5
Dogon	12	2.7	93.19	19.13
Dravidian	10	2.2	96.17	11.79
East Strickland	5	1.4	78.12	36.6
Guahiboan	5	1.6	90.33	21.23
Hmong-Mien	12	2.4	97.61	9.11
Indo-European	58	11.6	99.34	2.36
Koiarian	6	1.6	88.33	28.99
Kru	5	1.5	99.62	3.1
Lakes Plain	16	3.4	98.1	6.84
Lower Sepik-Ramu	7	1.8	58.63	40.28
Mande	16	2.9	86.49	19.58
Mixe-Zoque	9	1.9	85.66	28.06
Nakh-Daghestanian	8	2	38.66	40.92
Nuclear Trans New Guinea	182	36.6	99.1	1.51
Nuclear-Macro-Je	6	1.5	0.0	0.0
Pama-Nyungan	99	20.4	98.94	2.16
Quechuan	20	4.4	100.0	0.0
Sepik	8	2.0	69.6	38.52
Sino-Tibetan	97	19.4	98.44	2.94
Timor-Alor-Pantar	17	3.8	93.77	13.87
Tucanoan	18	4.1	99.23	4.51
Tupian	33	6.4	99.27	2.94
Turkic	27	5.6	99.8	2.01
Unclassified	183	36.4	87.89	5.59
Uralic	27	5.6	100.0	0.0
Uto-Aztecan	28	5.7	100.0	0.0
TOTAL	1597	319	88.47	3.46
